ID,Year,Event,Date,Week Num,Week Show,P/S/F,Perf,School Full,State,MPI,MPE,Mus Avg,VPI,VPE,Vis Avg,MGE1,MGE2,MGE Tot,VGE,GE Tot,Subtotal,Pen,Total,Place: Class,Class,Place: Panel,Place: Overall,Semis/Finals?,GN Finals?,Show Concat,SchoolConcat,MPI Rank,MPE Rank,Mus Avg Rank,VPI Rank,VPE Rank,Vis Avg Rank,MGE1 Rank,MGE2 Rank,MGE Tot Rank,VGE Rank,GE Tot Rank,Subtotal Rank,Total Rank
1,2024,Arizona Regional,10/5/2024,4,45.00,Finals,9,"Edmond Santa Fe H.S., OK",OK,16.500,16.100,16.300,15.900,17.000,16.450,16.500,16.800,33.300,16.900,50.200,82.950,0,82.950,,AAAA,,1,,,,"Edmond Santa Fe H.S., OK82.95",1,2,1,1,1,1,1,2,1,1,1,1,1
2,2024,Arizona Regional,10/5/2024,4,45.00,Finals,12,"Catalina Foothills H.S., AZ",AZ,15.200,16.000,15.600,14.000,16.500,15.250,15.800,16.900,32.700,15.900,48.600,79.450,0,79.450,,AAA,,2,,,,"Catalina Foothills H.S., AZ79.45",5,3,3,11,2,4,3,1,2,3,2,2,2
3,2024,Arizona Regional,10/5/2024,4,45.00,Finals,8,"Mountain Ridge H.S., AZ",AZ,15.500,16.500,16.000,15.500,14.800,15.150,15.700,16.400,32.100,16.100,48.200,79.350,0,79.350,,AAAA,,3,,,,"Mountain Ridge H.S., AZ79.35",3,1,2,2,7,5,4,3,4,2,3,3,3
4,2024,Arizona Regional,10/5/2024,4,45.00,Finals,7,"Foothill H.S., NV",NV,14.900,15.800,15.350,15.400,16.200,15.800,16.100,16.100,32.200,15.600,47.800,78.950,0,78.950,,AAA,,4,,,,"Foothill H.S., NV78.95",7,4,5,3,3,2,2,4,3,5,4,4,4
5,2024,Arizona Regional,10/5/2024,4,45.00,Finals,11,"Desert Vista H.S., AZ",AZ,15.300,15.300,15.300,15.300,15.700,15.500,15.400,15.250,30.650,15.800,46.450,77.250,0,77.250,,AAAA,,5,,,,"Desert Vista H.S., AZ77.25",4,5,6,4,4,3,5,8,7,4,5,5,5
6,2024,Arizona Regional,10/5/2024,4,45.00,Finals,10,"Mission Hills H.S., CA",CA,15.900,15.200,15.550,15.000,14.900,14.950,15.300,15.450,30.750,15.400,46.150,76.650,0,76.650,,AAAA,,6,,,,"Mission Hills H.S., CA76.65",2,6,4,5,6,6,6,6,6,6,6,6,6
7,2024,Arizona Regional,10/5/2024,4,45.00,Finals,2,"Arbor View H.S., NV",NV,14.300,14.800,14.550,14.500,15.100,14.800,15.100,15.700,30.800,15.100,45.900,75.250,0,75.250,,AAAA,,7,,,,"Arbor View H.S., NV75.25",9,7,8,8,5,7,7,5,5,7,7,7,7
8,2024,Arizona Regional,10/5/2024,4,45.00,Finals,6,"Millennium H.S., AZ",AZ,15.100,14.400,14.750,14.100,13.700,13.900,14.800,14.800,29.600,14.100,43.700,72.350,0,72.350,,AAA,,8,,,,"Millennium H.S., AZ72.35",6,8,7,10,11,11,8,10,9,11,9,8,8
9,2024,Arizona Regional,10/5/2024,4,45.00,Finals,4,"Basha H.S., AZ",AZ,14.200,13.800,14.000,14.700,13.400,14.050,14.700,15.000,29.700,14.500,44.200,72.250,0,72.250,,AAAA,,9,,,,"Basha H.S., AZ72.25",10,10,10,7,12,10,9,9,8,9,8,9,9
10,2024,Arizona Regional,10/5/2024,4,45.00,Finals,1,"Sandra Day O'Connor H.S., AZ",AZ,13.900,14.200,14.050,14.200,14.700,14.450,14.000,15.300,29.300,14.300,43.600,72.100,0,72.100,,AAAA,,10,,,,"Sandra Day O'Connor H.S., AZ72.1",11,9,9,9,8,8,11,7,10,10,10,10,10
